brand,interaction_impact
958,0.047619047619047616
1921,0.031249999999999965
1607,0.3461538461538461
497,0.02702702702702705
1080,0.033333333333333826
1129,0.0624999999999999
726,0.02631578947368432
1039,0.11764705882352933
1374,0.2666666666666665
1943,0.22222222222222204
1176,0.039215686274509824
1352,0.0528846153846154
1644,0.1666666666666666
1997,0.13333333333333358
1030,0.038461538461538367
979,0.17829457364341092
1643,0.1060606060606063
409,0.13888888888888892
1461,0.24999999999999936
760,0.14509803921568631
1066,0.4999999999999997
1517,0.17647058823529393
1358,0.027777777777778
1939,0.11538461538461545
907,0.05259467040673198
1927,0.04736842105263159
535,0.08333333333333333
754,0.0557184750733138
664,0.10000000000000013
1635,0.035714285714285664
0,0.11111111111111109
1594,0.1666666666666666
52,0.08333333333333333
1694,0.075
165,0.05882352941176473
1,0.24999999999999994
343,0.12891737891737898
2011,0.27777777777777785
1850,0.007177033492821068
1181,0.4999999999999999
1106,0.1875
615,0.11111111111111113
348,0.11666666666666657
1739,0.049999999999999926
1574,0.07228915662650602
1963,0.18518518518518512
880,0.09090909090909116
1781,0.14285714285714282
1958,0.13333333333333328
557,0.05555555555555559
1558,0.1249999999999998
1121,0.1666666666666666
814,0.05555555555555559
91,0.047619047619047616
151,0.21428571428571427
49,0.119047619047619
758,0.11111111111111101
1379,4.163336342344337e-17
1784,0.10465116279069764
305,0.1874999999999998
304,0.1562500000000001
1614,0.11111111111111116
408,0.16666666666666669
1857,0.12121212121212122
80,0.055555555555555566
672,0.16666666666666669
1048,0.049999999999999954
1589,0.20000000000000012
1566,0.11764705882352919
619,0.2812499999999999
1393,0.04629629629629628
241,0.08333333333333333
580,0.18749999999999986
956,0.13333333333333325
1721,0.06250000000000001
1949,0.10958904109589039
922,0.13333333333333336
489,0.1666666666666666
1840,0.05555555555555553
1170,0.2499999999999999
224,0.028846153846153584
761,0.1
1955,0.06666666666666662
1419,0.06666666666666662
1065,0.1666666666666666
509,0.10000000000000032
1962,0.1249999999999998
70,0.09523809523809523
1068,0.030303030303030293
944,0.08333333333333368
1412,0.17578124999999942
1484,0.13793103448275862
453,0.08333333333333333
1282,0.006666666666666664
878,0.24999999999999992
1240,0.16666666666666666
418,0.17460317460317454
1172,0.05555555555555559
1201,0.25
1404,0.1875
789,0.047619047619047616
1502,0.09090909090909091
380,0.10085034013605443
1116,0.1999999999999999
1988,0.03703703703703703
1562,0.12500000000000003
974,0.08333333333333333
983,0.33333333333333337
1617,0.13333333333333325
1638,0.25000000000000017
2013,0.22222222222222215
833,0.12962962962962957
342,0.24193548387096775
1895,0.08333333333333333
1540,0.1666666666666666
1191,0.16666666666666666
1634,0.03333333333333391
1732,0.5
1892,0.33333333333333337
1647,0.09740259740259738
299,0.09523809523809523
107,0.22222222222222204
825,0.1666666666666666
874,0.08333333333333333
1667,0.33333333333333337
323,0.06666666666666662
1123,0.33333333333333337
1702,0.02777777777777779
1590,0.33333333333333337
207,0.11111111111111101
307,0.07500000000000034
458,0.33333333333333337
1561,0.015151515151515013
1239,0.07142857142857127
292,0.05555555555555559
623,0.24999999999999992
1669,0.09999999999999994
1727,0.08333333333333333
501,0.1999999999999999
1483,0.33333333333333337
1586,0.33333333333333337
1787,0.06250000000000001
1838,0.33333333333333337
