cart,purchase,view,view_to_cart,cart_to_purchase
970.0,519.0,21958.0,0.04417524364696238,0.5350515463917526
15707.0,7366.0,195275.0,0.08043528357444629,0.46896288279111226
190.0,136.0,9081.0,0.02092280585838564,0.7157894736842105
13.0,21.0,3409.0,0.0038134350249339984,1.6153846153846154
50.0,44.0,3746.0,0.013347570742124934,0.88
5278.0,2748.0,94885.0,0.05562523054223534,0.5206517620310723
441.0,387.0,22622.0,0.0194942975864203,0.8775510204081632
4074.0,2216.0,60826.0,0.06697793706638608,0.5439371624938635
139.0,129.0,6348.0,0.021896660365469438,0.9280575539568345
31.0,40.0,5163.0,0.00600426108851443,1.2903225806451613
104.0,121.0,7247.0,0.014350765834138263,1.1634615384615385
4470.0,2602.0,92009.0,0.04858220391483442,0.582102908277405
8684.0,5254.0,211348.0,0.041088631072922384,0.6050207277752188
1173.0,513.0,29360.0,0.03995231607629428,0.4373401534526854
1117.0,441.0,25124.0,0.04445948097436714,0.39480752014324083
6.0,3.0,5290.0,0.0011342155009451795,0.5
0.0,0.0,63.0,0.0,
0.0,6.0,1118.0,0.0,inf
34.0,14.0,4883.0,0.006962932623387262,0.4117647058823529
0.0,0.0,88.0,0.0,
55.0,10.0,4840.0,0.011363636363636364,0.18181818181818182
0.0,0.0,115.0,0.0,
0.0,0.0,3.0,0.0,
3.0,173.0,8006.0,0.00037471896077941546,57.666666666666664
0.0,0.0,76.0,0.0,
0.0,21.0,3331.0,0.0,inf
